id,module_id,name,qualified_name,entity_type,file_path,line_start,line_end,signature,docstring,description,interestingness_score,entity_metadata,created_at,updated_at
5b3f7d66-26f1-4650-a6ae-79255d78998a,3b00adde-6578-4db1-906a-3fefd22260b7,test_run_error_includes_data,cache.repos.https___github_com_openai_openai-agents-python.tests.test_run_error_details.test_run_error_includes_data,function,tests/test_run_error_details.py,12,27,async def test_run_error_includes_data(),,,0,"{""is_async"": true, ""decorators"": [""pytest.mark.asyncio""]}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
3067ebc5-ead5-40e5-a673-df1c88afda66,3b00adde-6578-4db1-906a-3fefd22260b7,test_streamed_run_error_includes_data,cache.repos.https___github_com_openai_openai-agents-python.tests.test_run_error_details.test_streamed_run_error_includes_data,function,tests/test_run_error_details.py,31,48,async def test_streamed_run_error_includes_data(),,,0,"{""is_async"": true, ""decorators"": [""pytest.mark.asyncio""]}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
4718aeef-7eea-4dc0-85d9-4f7a73d23eb2,3b00adde-6578-4db1-906a-3fefd22260b7,create_mock_anthropic_response_with_thinking,cache.repos.https___github_com_openai_openai-agents-python.tests.test_anthropic_thinking_blocks.create_mock_anthropic_response_with_thinking,function,tests/test_anthropic_thinking_blocks.py,22,36,def create_mock_anthropic_response_with_thinking() -> InternalChatCompletionMessage,Create a mock Anthropic response with thinking blocks (like real response).,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
69aa2d7c-d055-4580-955c-7a45ebf57a4a,3b00adde-6578-4db1-906a-3fefd22260b7,test_converter_skips_reasoning_items,cache.repos.https___github_com_openai_openai-agents-python.tests.test_anthropic_thinking_blocks.test_converter_skips_reasoning_items,function,tests/test_anthropic_thinking_blocks.py,39,73,def test_converter_skips_reasoning_items(),Unit test to verify that reasoning items are skipped when converting items to messages.,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
ef7ab175-c1fe-4621-986a-0320f5ec693b,3b00adde-6578-4db1-906a-3fefd22260b7,test_reasoning_items_preserved_in_message_conversion,cache.repos.https___github_com_openai_openai-agents-python.tests.test_anthropic_thinking_blocks.test_reasoning_items_preserved_in_message_conversion,function,tests/test_anthropic_thinking_blocks.py,76,104,def test_reasoning_items_preserved_in_message_conversion(),"Test that reasoning content and thinking blocks are properly extracted
from Anthropic responses and stored in reasoning items.",,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
0590b1a9-dce9-479a-9976-db36b188df64,3b00adde-6578-4db1-906a-3fefd22260b7,test_anthropic_thinking_blocks_with_tool_calls,cache.repos.https___github_com_openai_openai-agents-python.tests.test_anthropic_thinking_blocks.test_anthropic_thinking_blocks_with_tool_calls,function,tests/test_anthropic_thinking_blocks.py,107,248,def test_anthropic_thinking_blocks_with_tool_calls(),"Test for models with extended thinking and interleaved thinking with tool calls.

This test verifies the Anthropic's API's requirements for thinking blocks
to be the first content in assistant messages when reasoning is enabled and tool
calls are present.",,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
23cea422-3cd2-405e-b246-d7753c7d7ef0,3b00adde-6578-4db1-906a-3fefd22260b7,test_anthropic_thinking_blocks_without_tool_calls,cache.repos.https___github_com_openai_openai-agents-python.tests.test_anthropic_thinking_blocks.test_anthropic_thinking_blocks_without_tool_calls,function,tests/test_anthropic_thinking_blocks.py,251,361,def test_anthropic_thinking_blocks_without_tool_calls(),"Test for models with extended thinking WITHOUT tool calls.

This test verifies that thinking blocks are properly attached to assistant
messages even when there are no tool calls (fixes issue #2195).",,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
c5df2ca0-cffe-40b5-ad97-f5f1f67a2165,3b00adde-6578-4db1-906a-3fefd22260b7,test_tool_use_tracker_as_serializable_uses_agent_map_or_runtime_snapshot,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_use_tracker.test_tool_use_tracker_as_serializable_uses_agent_map_or_runtime_snapshot,function,tests/test_tool_use_tracker.py,11,19,def test_tool_use_tracker_as_serializable_uses_agent_map_or_runtime_snapshot() -> None,,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
861935dc-389a-4379-8bd7-dac6e72ea505,3b00adde-6578-4db1-906a-3fefd22260b7,test_tool_use_tracker_from_and_serialize_snapshots,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_use_tracker.test_tool_use_tracker_from_and_serialize_snapshots,function,tests/test_tool_use_tracker.py,22,30,def test_tool_use_tracker_from_and_serialize_snapshots() -> None,,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
56d9a233-373f-4e87-ae3f-c59335ca1aa1,3b00adde-6578-4db1-906a-3fefd22260b7,test_hydrate_tool_use_tracker_skips_unknown_agents,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_use_tracker.test_hydrate_tool_use_tracker_skips_unknown_agents,function,tests/test_tool_use_tracker.py,33,49,def test_hydrate_tool_use_tracker_skips_unknown_agents() -> None,,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
14061a60-abb7-4290-9c5c-dc19fb21b164,3b00adde-6578-4db1-906a-3fefd22260b7,_RunState,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_use_tracker._RunState,class,tests/test_tool_use_tracker.py,34,36,,,,0,"{""bases"": [], ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
9e3abe08-f85c-427a-9106-0bf5f5222df7,3b00adde-6578-4db1-906a-3fefd22260b7,get_tool_use_tracker_snapshot,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_use_tracker._RunState.get_tool_use_tracker_snapshot,method,tests/test_tool_use_tracker.py,35,36,"def get_tool_use_tracker_snapshot(self) -> dict[str, list[str]]",,,0,"{""class"": ""_RunState"", ""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
e675bfa9-9b25-4345-ad76-065031567789,3b00adde-6578-4db1-906a-3fefd22260b7,get_tool_use_tracker_snapshot,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_use_tracker.get_tool_use_tracker_snapshot,function,tests/test_tool_use_tracker.py,35,36,"def get_tool_use_tracker_snapshot(self) -> dict[str, list[str]]",,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
def2fbf2-fa6c-4cd7-8759-f58ade55725b,3b00adde-6578-4db1-906a-3fefd22260b7,test_prompt_with_handoff_instructions_includes_prefix,cache.repos.https___github_com_openai_openai-agents-python.tests.test_handoff_prompt.test_prompt_with_handoff_instructions_includes_prefix,function,tests/test_handoff_prompt.py,7,12,def test_prompt_with_handoff_instructions_includes_prefix() -> None,,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
6c682d6e-63ff-4318-a2d5-3b8f019ff788,3b00adde-6578-4db1-906a-3fefd22260b7,DummyEditor,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_metadata.DummyEditor,class,tests/test_tool_metadata.py,25,33,,,,0,"{""bases"": [], ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
e434f19e-6e48-4a77-b402-d2057ab02485,3b00adde-6578-4db1-906a-3fefd22260b7,__init__,cache.repos.https___github_com_openai_openai-agents-python.tests.testing_processor.__init__,function,tests/testing_processor.py,18,23,def __init__(self) -> None,,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
e4c2f935-9236-4cc8-a28e-ea14f485e946,3b00adde-6578-4db1-906a-3fefd22260b7,create_file,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_metadata.DummyEditor.create_file,method,tests/test_tool_metadata.py,26,27,"def create_file(self, operation)",,,0,"{""class"": ""DummyEditor"", ""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
36d2098a-ea32-45ad-b4ab-dd95047eed4d,3b00adde-6578-4db1-906a-3fefd22260b7,update_file,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_metadata.DummyEditor.update_file,method,tests/test_tool_metadata.py,29,30,"def update_file(self, operation)",,,0,"{""class"": ""DummyEditor"", ""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
c859ed4d-2a0a-4f90-8512-c363386f4598,3b00adde-6578-4db1-906a-3fefd22260b7,delete_file,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_metadata.DummyEditor.delete_file,method,tests/test_tool_metadata.py,32,33,"def delete_file(self, operation)",,,0,"{""class"": ""DummyEditor"", ""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
45c5c154-fabd-4fdd-b31e-764f099128ab,3b00adde-6578-4db1-906a-3fefd22260b7,test_tool_name_properties,cache.repos.https___github_com_openai_openai-agents-python.tests.test_tool_metadata.test_tool_name_properties,function,tests/test_tool_metadata.py,36,52,def test_tool_name_properties() -> None,,,0,"{""is_async"": false, ""decorators"": []}",2026-03-06 01:48:14.550141+00,2026-03-06 01:48:14.550141+00
